@0	0000000000010000
@1	0000000000000010
@2	0000000101010101
@3	0000010000000000
@4	0100000100010000
@5	0101010101000001
@6	0101010100000001
@7	0100000101010001
@8	0001000100000001
@9	0100010100000101
@a	0000010100000001
@b	0000010000010000
@c	0101000001010100
@d	0001000000000100
@e	0001010001010000
@f	0001000001010101
@10	0101010100000000
@11	0001000000010100
@12	0101000101000000
@13	0101000000010000
@14	0001010101010100
@15	0001000101000001
@16	0000000000000001
@17	0101010101000001
@18	0101010000000101
@19	0101000000010001
@1a	0000010001000001
@1b	0100000101000100
@1c	0100000001010001
@1d	0001000000010000
@1e	0001000001010101
@1f	0100010000010001
@20	0101000000000100
@21	0101000100010100
@22	0000000000010000
@23	0000000000000100
@24	0011011001100010
@25	0011000001100110
@26	0101001001100110
@27	0101011000000000
@28	0000011000000110
@29	0100010101000011
@2a	0010000000110001
@2b	0110001001010011
@2c	0100001000110101
@2d	0011010001100000
@2e	0000000001100101
@2f	0110000101000010
@30	0101010000110001
@31	0011001101010100
@32	0011010100010100
@33	0010001100100010
@34	0001001001010110
@35	0011011000010100
@36	0101010000010100
@37	0010010100110110
@38	0011011001000110
@39	0001010000000000
@3a	0110011000000101
@3b	0001011000000000
@3c	0101000100100010
@3d	0110011000000010
@3e	0011000101010000
@3f	0100000000100110
@40	0010010001100001
@41	0110001000110101
@42	0110010100100011
@43	0100000101100110
@44	0100010101100011
@45	0010001000100001
@46	0101010100100001
@47	0101011001000000
@48	0100010100100001
@49	0010010101010100
@4a	0000010100110001
@4b	0001000001000000
@4c	0010000101100101
@4d	0110001101000110
@4e	0101001101100101
@4f	0001011001000011
@50	0000001000010110
@51	0011000101010000
@52	0100000101000101
@53	0110011001000101
@54	0000000001000110
@55	0101010000110110
@56	0100010101100001
@57	0010010101010011
@58	0000001100110000
@59	0101000101000001
@5a	0110011000000110
@5b	0011010100100110
@5c	0110001100000000
@5d	0010001001100100
@5e	0110000000100001
@5f	0100000000010010
@60	0010000000110110
@61	0110011001010001
@62	0001000100000010
@63	0100000101000101
@64	0000000000100000
@65	0000000000000010
@66	0000010000000000
@67	0001010001000101
@68	0101010001000000
@69	0000010101010000
@6a	0001000000010100
@6b	0000000101000101
@6c	0100000001000101
@6d	0100000101010001
@6e	0001000100000100
@6f	0001000101000001
@70	0100000100010000
@71	0100000000000000
@72	0000010000010000
@73	0100000001000000
@74	0101010100010101
@75	0100010100000000
@76	0000010100010101
@77	0100000100010001
@78	0000010001000101
@79	0100010100010100
@7a	0100000100010101
@7b	0000010100000000
@7c	0100000000000101
@7d	0001000101010101
@7e	0100010001000101
@7f	0101010100000001
@80	0101010101010000
@81	0001010100000101
@82	0100010001010000
@83	0101000101010001
@84	0000000101000101
@85	0101010101000001
@86	0100010101010100
@87	0000000000010101
@88	0001000100000101
@89	0100000001010101
@8a	0000000000000101
@8b	0000000100010100
@8c	0100000000010101
@8d	0101010101000001
@8e	0101000000010001
@8f	0101010100000100
@90	0101000100010101
@91	0000000001010101
@92	0001010000000101
@93	0101000101000001
@94	0001000000010100
@95	0101010101010001
@96	0001000100010101
@97	0101010101010001
@98	0000010001000001
@99	0101000000010101
@9a	0100010101010000
@9b	0001000100000101
@9c	0100010000000001
@9d	0100000100000101
@9e	0100010000010001
@9f	0000010100010101
@a0	0101000101000101
@a1	0100010001010001
@a2	0101010000010101
@a3	0000010100010101
@a4	0000010001000000
@a5	0001000000010101
@a6	0001000000000100
@a7	0000010101000001
@a8	0100000000010001
@a9	0000010001000000
@aa	0000010101010101
@ab	0100000000000000
@ac	0100010000000100
@ad	0000010100000000
@ae	0001010101000100
@af	0101010100000000
@b0	0001010101000001
@b1	0000010001000001
@b2	0001000100010001
@b3	0000000001000001
@b4	0000000000010001
@b5	0000010001000101
@b6	0000000000000101
@b7	0000000100010000
@b8	0001000101010000
@b9	0100010001000100
@ba	0001010101000000
@bb	0001010101000000
@bc	0001010101000101
@bd	0100000100000100
@be	0101000001010101
@bf	0100000000010101
@c0	0100000101000001
@c1	0101010101010000
@c2	0101000100000100
@c3	0100000000000000
@c4	0100000101010001
@c5	0001000101010100
@c6	0001000000010101
@c7	0101000101010000
@c8	0100010001000101
@c9	0100010000010000
@ca	0100010100010101
@cb	0100010101000000
@cc	0000010001000000
@cd	0100000100010001
@ce	0001010101010100
@cf	0101010001000001
@d0	0101010100010101
@d1	0001000100010001
@d2	0101000101000100
@d3	0000010000000001
@d4	0101000101000100
@d5	0100010101010000
@d6	0000000000000001
@d7	0001000101000100
@d8	0000000101010100
@d9	0000010001000001
@da	0100000001000001
@db	0000000001000100
@dc	0000010001000101
@dd	0100010001000000
@de	0001010000000101
@df	0001010001000000
@e0	0001000000000000
@e1	0100000001010001
@e2	0100000001000101
@e3	0100010001000001
@e4	0101010100000000
@e5	0001010100000000
@e6	0000000000100000
@e7	0000000000000100
@e8	0101010101000101
@e9	0010010000010110
@ea	0011010101010111
@eb	0011000000110111
@ec	0101010000010100
@ed	0111001100010000
@ee	0101010000100100
@ef	0110011100100010
@f0	0011001100110110
@f1	0110000100010100
@f2	0110011100000011
@f3	0110010001010000
@f4	0101001101110101
@f5	0011010101010001
@f6	0101010101010000
@f7	0000010101110100
@f8	0111000101010001
@f9	0111000100000011
@fa	0000010101000110
@fb	0111010100000111
@fc	0000000000110010
@fd	0111010100000110
@fe	0000010000000011
@ff	0010001101000111
@100	0110011101000111
@101	0000010000100001
@102	0001001100100100
@103	0101001100000010
@104	0010011000110011
@105	0110001101000110
@106	0000000001110111
@107	0101000001110111
@108	0011011100110110
@109	0101010001110111
@10a	0100000001110000
@10b	0010000101000011
@10c	0001000100010010
@10d	0011001101010111
@10e	0001001001100110
@10f	0110000001100011
@110	0000011001000010
@111	0011001101110000
@112	0000000101010101
@113	0111010100110111
@114	0111001001100000
@115	0110001001000110
@116	0010011100110101
@117	0001001100110000
@118	0111000101010100
@119	0001011101010010
@11a	0110011000010011
@11b	0010011001100100
@11c	0001010101100101
@11d	0111010100110010
@11e	0000011000110011
@11f	0111010000100001
@120	0100000000000001
@121	0001010101110011
@122	0001010100000000
@123	0001010100110011
@124	0011001000000000
@125	0001000001000100
@126	0011010101010110
@127	0100010000000011
@128	0000000100110001
@129	0100001001100110
@12a	0001001100010101
@12b	0000001001010110
@12c	0001010001100111
@12d	0011000101000011
@12e	0101000100100011
@12f	0101011000100101
@130	0111010100100110
@131	0011011001000110
@132	0100011101000000
@133	0110010000010010
@134	0110001101000110
@135	0111010101110110
@136	0010000100000000
@137	0110001001100000
@138	0010001001010011
@139	0111011000110001
@13a	0111010001000111
@13b	0011011001110110
@13c	0101000100110100
@13d	0000010101010111
@13e	0010000001110111
@13f	0110010000100011
@140	0010011101000001
@141	0001000001100110
@142	0001001100100010
@143	0011000101000010
@144	0011011001010010
@145	0001010001100111
@146	0111011101000011
@147	0010001101110110
@148	0010001100000010
@149	0111001101000110
@14a	0110000101110000
@14b	0000010001110110
@14c	0000000101100110
@14d	0001001100000000
@14e	0110000000110101
@14f	0001010101110100
@150	0101000101110010
@151	0101001000100100
@152	0111010000100000
@153	0100010100100000
@154	0100010101010001
@155	0000000000010110
@156	0110001101100110
@157	0001010101110101
@158	0110000100000111
@159	0111011001100111
@15a	0100000101000110
@15b	0000010101110010
@15c	0000010000000011
@15d	0100010101100001
@15e	0000011100110111
@15f	0101000001010010
@160	0101000000100101
@161	0100011101010101
@162	0001010001100001
@163	0100011101000000
@164	0001001001010100
@165	0110010101100100
@166	0101011001000011
@167	0110010100010011
@168	0000001001010100
@169	0100010100010011
@16a	0110010001110100
@16b	0111010100110100
@16c	0110011101010101
@16d	0110000001000000
@16e	0101010100000001
@16f	0110000001000110
@170	0100000001100010
@171	0100001100010111
@172	0100010000000110
@173	0010001100100111
@174	0110001001100001
@175	0110000001100000
@176	0000001101000011
@177	0110011100000011
@178	0001001101100101
@179	0001001001100100
@17a	0010010001000001
@17b	0000001001100000
@17c	0111001000010101
@17d	0010011001000010
@17e	0010010000010111
@17f	0111000001000110
@180	0000000100010010
@181	0100000101010000
@182	0111011100010110
@183	0001011100000100
@184	0010010100000100
@185	0001001000010011
@186	0111000000100111
@187	0001010000100110
@188	0110010101010101
@189	0001000101110011
@18a	0010011001100101
@18b	0010000101110111
@18c	0000000100010101
@18d	0001010001000111
@18e	0110011001010000
@18f	0011010001110000
@190	0100011101010101
@191	0001000101010010
@192	0011010101100000
@193	0101001001010010
@194	0001011001110011
@195	0110001101010110
@196	0011010101000010
@197	0111001100010000
@198	0011001101010010
@199	0000010101010101
@19a	0111000101010110
@19b	0001000000000100
@19c	0100001001010100
@19d	0110010100100111
@19e	0010010001110001
@19f	0000000001100000
@1a0	0011001100000000
@1a1	0111010101100001
@1a2	0111001000000100
@1a3	0101010101100011
@1a4	0000011101000111
@1a5	0000011001100010
@1a6	0010011000100100
@1a7	0110011001000101
@1a8	0001010101010010
@1a9	0110010001100101
@1aa	0011000101000100
@1ab	0001010000110001
@1ac	0011000000010000
@1ad	0110001101110001
@1ae	0100010000000001
@1af	0001010000000001
@1b0	0011011000100111
@1b1	0001010100110110
@1b2	0110000000110101
@1b3	0011000100110001
@1b4	0011010101000011
@1b5	0110001101110100
@1b6	0010000001110011
@1b7	0000001001100111
@1b8	0100000101000011
@1b9	0101010000010110
@1ba	0010000001000101
@1bb	0110011100100110
@1bc	0010000100010110
@1bd	0011010000010001
@1be	0001011000000010
@1bf	0100011001100011
@1c0	0000011101010001
@1c1	0110001101010011
@1c2	0000000000100000
@1c3	0100011100010110
@1c4	0101011101110001
@1c5	0001010100000001
@1c6	0111011101100010
@1c7	0101010100100101
@1c8	0111010101110101
@1c9	0001010001000111
@1ca	0110000100100101
@1cb	0110010001100100
@1cc	0011010000100100
@1cd	0000011001100110
@1ce	0110001101110101
@1cf	0011010100000110
@1d0	0000000000100001
@1d1	0011001100010000
@1d2	0000011000010111
@1d3	0000011100100101
@1d4	0010001101000100
@1d5	0111010100000001
@1d6	0010001000010110
@1d7	0010010001100110
@1d8	0111010001000000
@1d9	0101011100110110
@1da	0110010001010100
@1db	0001000001000010
@1dc	0111001100100100
@1dd	0111000100110100
@1de	0101000100100010
@1df	0101000000010101
@1e0	0100010101010110
@1e1	0111010000100110
@1e2	0000010100110010
@1e3	0011001001100000
@1e4	0101001101000101
@1e5	0111010100100110
@1e6	0110001000000100
@1e7	0110011001000110
