@0	0000000000010000
@1	0000000000001000
@2	0010000000000010
@3	0001011101011011
@4	0011100001011001
@5	0010001100100110
@6	0000011100000011
@7	0001111100110100
@8	0100100001001000
@9	0000010100110101
@a	0000000000010000
@b	0000000000001000
@c	0011101100111011
@d	0000011100010000
@e	0001011001100011
@f	0011011100000101
@10	0001110000001000
@11	0101111001001011
@12	0100110001000000
@13	0101111100110100
@14	0000000000100000
@15	0000000000000010
@16	0000000100000100
@17	0100000000010000
@18	0001000100000001
@19	0000000100010100
@1a	0000000000100000
@1b	0000000000000100
@1c	0110000000000110
@1d	0110011001010100
@1e	0101010101010011
@1f	0010010101010000
@20	0100011000010001
@21	0011001100010000
@22	0010001001010011
@23	0001001101010000
@24	0000000011111111
